PID,Failure_Type,Failure_Source,User,Voice_Assistant,Context,Failure_freq,Survey,age,gender,Native_English,accent,adjust_speech,repeat_speech,race,device,device_write_in,Frequency
42,Understanding,Misunderstanding,I asked if it would give me directions to 241 Main Street.,It gave me directions to a totally different address that wasn't even close to what I asked,I was sitting in my home office and asked it to get directions for an address,Sometimes when I use it,y,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
42,Understanding,Misunderstanding,I said play the theme song to the movie Halloween.,It started to play a scary sounds soundtrack instead of the song.,I asked it to play the theme from Halloween. I was sitting with my mother.,Sometimes when I use it,y,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
43,Understanding,Misunderstanding,"Hey Voice Assistant, turn on the music system.",The television turned on.,,Sometimes when I use it,,25-34,Man,Yes,Yes,Every time I use it,Every time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
44,Understanding,Misunderstanding,I asked about the weather report.,It responded by playing a song related to weather.,"I was trying to ask Voice Assistant about the weather report, but because of the noise Voice Assistant thought I am looking for a song on weather. Then I asked the same question again, this time Voice Assistant responded correctly.",Rarely when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
44,Perception,Truncation,"I asked Voice Assistant to set the alarm at morning 6, instead it set it for 6 in the evening","Voice Assistant responded with the alarm was set, but it didn't listen my complete conversation and responded quickly.","I want Voice Assistant to set the alarm on my phone, didn't listend the full conversation, my collegues are with me at that time.",Rarely when I use it,y,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
45,Understanding,Misunderstanding,"Voice Assistant, where is Etho's vegan restaurant?",It showed me restaurants in the area but not the specific restaurant I was asking about.,I was in my car driving by myself in a different city and asking for the address of a local restaurant.,Sometimes when I use it,,25-34,Woman,Yes,No,Rarely,Sometimes,White,Mobile phone,,Daily
45,Response,Action execution: no action,"Voice Assistant, call Home Depot in Lakeland.","[Expecting a call to go through or a web page of search results to appear, you hear the following instead.] ""You have Home Depot in your contacts to call them.""",I was alone at home sitting around and trying to call a local Home Depot to see if they had something in stock,Most of the time I use it,y,25-34,Woman,Yes,No,Rarely,Sometimes,White,Mobile phone,,Daily
45,Perception,Transcription,"I said something to the jist of ""Look up Teen Daze's songs""",It kept mishearing 'Teen Daze' and showed me completely irrelevant searches and no matter how many times I asked the same thing it showed me different results that were wrong,I was alone at home and trying to look up an artist to see their songs,Sometimes when I use it,y,25-34,Woman,Yes,No,Rarely,Sometimes,White,Mobile phone,,Daily
46,Perception,Noisy channel,"Voice Assistant, new movies around me.","Sorry, I don't understand.","When I ask for the new movies near me, it fails to reply while others were talking near me.",About half the time I use it,,35-44,Woman,Yes,Maybe,About half the time I use it,About half the time I use it,Asian,Mobile phone,,Once a week
46,Understanding,No understanding,"OK, Voice Assistant new movies around me.",Sorry I don't understand,"It may be a connectivity issue, or it may fail to recognise my voice.",About half the time I use it,,35-44,Woman,Yes,Maybe,About half the time I use it,About half the time I use it,Asian,Mobile phone,,Once a week
47,Understanding,No understanding,"Voice Assistant, what is the most dangerous thing a man has in his body?","Sorry, I can not understand what you are asking about.",It happened during my leisure time,Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
47,Understanding,Misunderstanding,"Voice Assistant, play a rainy song",The voice assistant misunderstand my intention and started playing a song from 'rain album'.,It happened while I am interacting with Voice Assistant.,Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
47,Understanding,Ambiguity,"Voice Assistant, schedule a meeting with Mr. George on Monday.","Since I didn't mentioned the date of meeting, Voice Assistant schedule a meeting after 1 week on Monday.",,Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
48,Understanding,No understanding,I asked when Italy was formed as a country. ,"Hmm, I don't know that. ",I was asking it a factual question about a country. ,Sometimes when I use it,,35-44,Man,Yes,Maybe,Rarely,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
48,Understanding,Misunderstanding,"Voice Assistant, please play such and such song.",It played a completely different song. ,I was trying to have it play a specific song.,Rarely when I use it,,35-44,Man,Yes,Maybe,Rarely,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
49,Attention,Missed Trigger,"Voice Assistant, turn off the music.",The music was playing and would not shut off.,,Sometimes when I use it,,35-44,Man,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
49,Response,Action execution: incorrect,It said California's weather was 85 outside,I live in South Carolina and it kept on giving me California's weather,I asked it what the weather was outside edit gave me the wrong locations weather,Rarely when I use it,,35-44,Man,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
50,Perception,Transcription,"Voice Assistant, what is the temperature in Murrieta today?","The temperature in Marietta, Georgia today is...",Ask for the weather conditions in the city I live in. No others were present except for me.,Sometimes when I use it,Y,55-64,Woman,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
50,Attention,Spurious Trigger,"[From someone on TV: ""Voice Assistant, what is 10% of $30?""]",[Your voice assistant lights up and responded to the math question before the voice assistant on TV did.],"We were watching TV, and someone on the TV was asking their Alexa a math question.",Rarely when I use it,y,55-64,Woman,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
51,Perception,Transcription,"Voice Assistant, call Katherine.","It called the wrong person, completely different name than I said. ",Dialed the wrong contact. I was driving down the road.,Rarely when I use it,,35-44,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,2-3 times a week
52,Response,Action execution: incorrect,"Voice Assistant, get directions to Flower's Bakery in London, Kentucky.","Ok, I found this on the web.","The browser opened with search results that were not really relevant to what I was looking for. I expected Voice Assistant to return directions or interact with the map application. It was a quiet environment inside my car, and I was along without any others present.",About half the time I use it,,35-44,Man,Yes,Yes,Sometimes,About half the time I use it,White,Mobile phone,,2-3 times a week
52,Attention,Spurious Trigger,"Nothing specifically meant for the voice assistant, but the partial phrase ""Voice Assistant"" was picked up.","""Hmm?"" ""I didn't quite get that.""","I was discussing sports with some friends. I mentioned the name of an NFL coach, who is named something similar to the Voice Assistant activation phrase. The Voice Assistant mistakenly thought I was saying her name.",Rarely when I use it,y,35-44,Man,Yes,Yes,Sometimes,About half the time I use it,White,Mobile phone,,2-3 times a week
52,Perception,Transcription,"Hey Voice Assistant, call Brian Baker.","No audible response, but the phone began dialing a number immediately. However, it was the wrong contact that had a similar sounding name.",I was trying to place a call to a specific contact in my phone using voice commands.,Sometimes when I use it,y,35-44,Man,Yes,Yes,Sometimes,About half the time I use it,White,Mobile phone,,2-3 times a week
53,Perception,Transcription,"Voice Assistant, directions to Takacs. (a small grocery store)","Ok, here's some taco restaurants near you.","I was trying to get directions to a business, and even though I repeated myself it did not work. I ended up manually searching for directions.",Sometimes when I use it,,45-54,Man,Yes,No,Sometimes,Sometimes,White,Mobile phone,,Daily
53,Attention,Spurious Trigger,I said nothing. Something said in the video triggered the Voice Assistant.,"It only turned on and began listening, it was waiting for me to make a request.",I was watching videos on YouTube.,Sometimes when I use it,y,45-54,Man,Yes,No,Sometimes,Sometimes,White,Mobile phone,,Daily
54,Response,Action execution: incorrect,"Hey Voice Assistant, turn on living room lights.",Turned on the bathroom lights instead.,Trying to turn on my living room lights.,Rarely when I use it,,35-44,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,Daily
55,Perception,Noisy channel,"Voice Assistant, please switch on the lights.",It responded to ask the date of flights that I wanted.,I was watching TV with my friend.,Rarely when I use it,,25-34,Woman,Yes,No,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
56,Understanding,No understanding,"Voice Assistant, please convert one hectare land into Bigha.",It said nothing and opened a Voice Assistant search page.,I asked Voice Assistant assistant to convert one hectare into some local measurement but it could not do that.,Sometimes when I use it,,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
56,Understanding,Ambiguity,"Voice Assistant, can you play the song Khandani Munda?",It played the song but it was from some other singer.,I asked Voice Assistant to play a particular song in a noisy environment (during a party).,Rarely when I use it,,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
57,Understanding,Misunderstanding,"Voice Assistant, can plastic food containers be recycled?","I received incorrect queries like it thought I was looking for food containers or it just gave me recycling information, or plastic information.","It was late at night and I did not want to speak loud. When I queried softly on Voice Assistant, it was interpreted differently. Voice Assistant thought that I was looking for a different thing while I was looking for certain information.",About half the time I use it,,45-54,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,2-3 times a week
57,Attention,Spurious Trigger,I did not say anything. I was watching TV.,It mentioned something like someone requested for information. (I forgot what it said.),"I was not really using Voice Assistant when all of a sudden, Voice Assistant blurted out something. It could be something on TV that triggered it.",Rarely when I use it,,45-54,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,2-3 times a week
58,Perception,Overcapture,"Voice Assistant, stop the music.",It chimed but nothing happened.,I was trying to stop the music,Rarely when I use it,y,25-34,Woman,Yes,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
59,Understanding,Misunderstanding,"Voice Assistant, find the Sinclair hotel in Fort Worth.",It gave me the wrong location which I did not ask for.,,Sometimes when I use it,,35-44,Man,No,Maybe,Sometimes,Sometimes,Asian,Mobile phone,,Daily
59,Understanding,Ambiguity,"Voice Assistant, find the movie Gemini ",It showed me the wrong movie which is named as Gemini Man,I asked to find the particular movie in youtube,Rarely when I use it,,35-44,Man,No,Maybe,Sometimes,Sometimes,Asian,Mobile phone,,Daily
60,Perception,Noisy channel,"Voice Assistant, call my wife Emile.","Voice Assistant, can not recognize my voice due to background noise and she didn't respond.",I was at a wedding reception. Voice Assistant is unable to receive my voice correctly.,Rarely when I use it,,35-44,Man,Yes,Yes,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
60,Attention,Delayed Trigger,"Voice Assistant, show me the route to the national park.","[It took too much time to respond, before she responding, once again I asked the route.]",It happened while I am driving in car,Rarely when I use it,y,35-44,Man,Yes,Yes,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
61,Perception,Noisy channel,"Voice Assistant, turn down the volume",Voice Assistant increased the volume,The television was on and the volume was a bit high.,Sometimes when I use it,,25-34,Woman,Yes,No,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
61,Perception,Noisy channel,"Voice Assistant, switch on the lights",Voice Assistant didn't understand the command and asked to repeat it,My friend was talking on the phone in the same room and maybe because of his voice Voice Assistant couldn't interpret correctly.,Sometimes when I use it,y,25-34,Woman,Yes,No,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
62,Attention,Missed Trigger,"Voice Assistant, how many tablespoons are in a cup?",[Nothing happens],"I was alone in the kitchen cooking dinner and needed some help with the measurements in my recipe, so I asked Voice Assistant, who is in the next room. Voice Assistant did not respond at all to my first question.  I had to yell louder until she responded with the answer.",Rarely when I use it,,35-44,Man,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
63,Attention,Delayed Trigger,Voice Assistant what is the weather like tomorrow?,Still working on it.,I was asking for the weather tomorrow. But maybe due to slower internet the Voice Assistant was delayed to respond,Rarely when I use it,y,25-34,Man,Yes,No,Most of the time I use it,Rarely,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
64,Attention,Missed Trigger,"Voice Assistant, set a timer for ten minutes.",[Nothing happens],"Voice Assistant didn't respond at all, it could be the hardware issue, I tried to fix it out, may be the issue with the Bluetooth device. I was alone and no one present at the moment.",Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
64,Perception,Truncation,"Voice Assistant, play no body no crime.","Okay, Playing the song ""no body"" by wookiefoot","I was trying to give it a command to play a song for me, I had party with my friends and all of my friends were present at the moment.",Sometimes when I use it,y,35-44,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
65,Perception,Noisy channel,Voice Assistant new movies around me.,Sorry I don't understand,"While asking for new movies when there's a crowded environment, it does not work well.",About half the time I use it,,35-44,Woman,Yes,Maybe,About half the time I use it,About half the time I use it,Asian,Mobile phone,,Once a week
66,Attention,Delayed Trigger,Voice Assistant switch on the TV,Some sound only came and the TV was not switched on.,"I just try to switch on my TV, where no one is present in the room.",Rarely when I use it,,35-44,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
66,Perception,Noisy channel,Voice Assistant turn on the AC.,"Sorry, I did not understand.",I just want to switch on my AC and there were some noises in the room and Voice Assistant didn't recognize my voice. ,Sometimes when I use it,,35-44,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
66,Understanding,No understanding,"Voice Assistant, today news headlines","Sorry, I don't understand ",One time I just tried to hear some news headlines.,About half the time I use it,y,35-44,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
67,Attention,Missed Trigger,Voice Assistant...,[Nothing happens],"Any time I'm in the car, Voice Assistant fails to respond.  ",Most of the time I use it,,35-44,Man,Yes,No,Every time I use it,About half the time I use it,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
67,Understanding,Misunderstanding,I was asking about the weather. ,It started talking about President Biden.,My wife was talking to me while I was trying to ask Voice Assistant something.,Rarely when I use it,,35-44,Man,Yes,No,Every time I use it,About half the time I use it,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
67,Perception,Transcription,"Voice Assistant, call Dr. Gilbert Simpson. ",Do you want to know what show Dr. Hibbert is on?,I was trying to get Voice Assistant to my friend Gilbert.  Voice Assistant said do you want to know what show Dr. Hilbert is on?,Most of the time I use it,y,35-44,Man,Yes,No,Every time I use it,About half the time I use it,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
68,Understanding,Misunderstanding,"Voice Assistant, where is Bob Evans?",I found one location for Bobs Pit Barbeque,I was driving and asking for directions.,Rarely when I use it,,45-54,Woman,Yes,No,Rarely,Rarely,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
69,Response,Action execution: no action,Please find nearest Tim Horton's,It lagged and then said it was unable to find the request,,Sometimes when I use it,,35-44,Man,No,No,Rarely,Sometimes,White,Mobile phone,,2-3 times a week
69,Understanding,Ambiguity,"Find ""specific song"" by ""specific band""",It found songs with similar titles but different music,Trying to find a specifc song,Rarely when I use it,,35-44,Man,No,No,Rarely,Sometimes,White,Mobile phone,,2-3 times a week
70,Perception,Truncation,"Voice Assistant, can you multiply 54, 39, 33, and 22?","54 times 39 times 33 is 69,498.","We were watching TV, and someone on the TV was asking their voice assistant a math question.",Rarely when I use it,y,25-34,Man,Yes,No,Rarely,Rarely,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
71,Perception,Noisy channel,"Voice Assistant, what is Apple stock value today?",I'm not sure I understand.,I was walking down a busy street with lots of traffic noise.,Sometimes when I use it,y,35-44,Man,Yes,Maybe,Sometimes,Sometimes,White,Mobile phone,,Daily
72,Attention,Missed Trigger,"Voice Assistant, set an alarm for 9 am.","[It did not activate (screen didn't light, phone didn't vibrate)]","I was trying to set an alarm for the next morning, I was alone, it was quiet",About half the time I use it,y,35-44,Man,Yes,No,Sometimes,About half the time I use it,White,Mobile phone,,Daily
72,Perception,Overcapture,"Voice Assistant, set a timer for 60 minutes.",[It listens to the command for so long you set a timer yourself.],"I was trying to set a timer on my phone, I was alone in my quiet bedroom",Sometimes when I use it,y,35-44,Man,Yes,No,Sometimes,About half the time I use it,White,Mobile phone,,Daily
73,Understanding,Misunderstanding,I asked how old someone famous was.,It gave me a detailed description of a bird.,I was the only one present.  I asked it for information about something and it gave me something completely different.,Sometimes when I use it,,45-54,Woman,Yes,No,Sometimes,Rarely,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
74,Attention,Missed Trigger,"Voice Assistant, change the color of the light to green.",[No response.],"Change the color of the smart light to Green, Not responded to me ",Rarely when I use it,y,35-44,Man,No,Maybe,Most of the time I use it,Most of the time I use it,Asian,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
75,Perception,Noisy channel,I asked for specific information about a business.,It asked me to repeat myself.,"I was driving, it was a somewhat noisy environment.",Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,2-3 times a week
75,Perception,Noisy channel,I asked for business hours.,"I don't recall exactly, but I had to repeat myself, moved the phone closer","driving with the windows down, a somewhat noisy environment",Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,2-3 times a week
76,Attention,Missed Trigger,"Voice Assistant, connect to my Bluetooth.",[Nothing happens],"Voice Assistant was not able to find the device, and didn't connect to it. My friends were with me while commanding Voice Assistant. It didn't respond at all, as it failed to hear my command, may be because of the noise at my home.",Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
76,Perception,Truncation,I asked to get the distance from my home to Taylor Park Zoo.,"Instead of giving the distance to the zoo, it gave the distance of Taylor Park, it may be happend due to listening only the part of the command.","Asked to know the distance from my home to zoo park, my collegues are present at the moment and it was little noisy at home",Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
77,Response,Action execution: no action,"Voice Assistant, play music.",[The light flashed and nothing happened],"It didn't recognize my command and didn't respond, the kids were playing nearby.",Sometimes when I use it,,55-64,Woman,No,Yes,Sometimes,About half the time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
77,Perception,Transcription,"Voice Assistant, is my camera watching me ",I'm not sure i understand,Voice Assistant didn't recognize Indian accent ,Sometimes when I use it,,55-64,Woman,No,Yes,Sometimes,About half the time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
78,Attention,Missed Trigger,[Several times] Voice Assistant...,[Nothing happens],I am trying to call Voice Assistant in a noisy environment where machines are in running.,Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
79,Response,Action execution: incorrect,"Voice Assistant, how many people in Austin have died from Covid? (no particular timeline given to her)","I think it was ""I don't know the answer to that, but there have been X deaths from Covid in Texas."" Odd because she usually says ""I don't know about Austin, Texas, but according to John Hopkins there have been X deaths in Travis county"" (along with some other info). Sometimes she just can't do it for some reason. ","I wanted to know how many people in Austin, Texas have died due to Covid. I'm always alone when it happens. No TV in the room.",Sometimes when I use it,,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
79,Understanding,Misunderstanding,"Voice Assistant, what's the weather for the next week? ",She answered something like Right now it's (insert temperature here) degrees.,"I wanted to know the full weather forecast for the upcoming week, which is something that I ask Voice Assistant often, but she was unable to answer properly yesterday, even though I asked her 3 separate times. She has been able to do it successfully many times, but she just kept giving me only the high temperature for that ONE day. Yesterday it happened, and no one was in the room with me. The room was quiet. No TV on. It happens at other times, too.",Sometimes when I use it,,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
79,Perception,Overcapture,"Voice Assistant, hang up.","[Lights flash blue, nothing happens]","I say this when I need her to hang up after a phone call, and her light flashes blue and she does nothing, so I have to repeat it again.",Sometimes when I use it,y,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
80,Perception,Noisy channel,"Voice Assistant, turn up the volume.","I'm sorry, I didn't quite get that.",Sometimes Voice Assistant unable to understand the voice when to much outside happen.,Sometimes when I use it,y,25-34,Man,Yes,No,Rarely,Sometimes,Asian,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
81,Perception,Transcription,"Voice Assistant, what is cirrhosis?",A process is a series of actions or steps taken in order to achieve a particular end.,It understood cirrhosis it as process and returned incorrect results.,Rarely when I use it,,45-54,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
81,Understanding,Misunderstanding,"Voice Assistant play ""Rowdybaby"" on the TV.",[Music starts playing on a different set of speakers],,Sometimes when I use it,,45-54,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
82,Attention,Missed Trigger,"Voice Assistant, can you turn off the Bluetooth light.",[Nothing happens],I asked Voice Assistant to turn off the connected BT light. But it just didn't do anything.,Rarely when I use it,,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
82,Perception,Noisy channel,"Voice Assistant, show me the news.",The lights flashed and turned off after few seconds.,"It happened a few times, especially while travelling in a train or bus.",Sometimes when I use it,Y,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
82,Perception,Truncation,"Voice Assistant, play King Princess","""Okay, playing King by Florence + the Machine""",It happened many times. I asked Google assistant to play a song. I just said few words and it captured those initial words only. It started playing another song with a similar title.,Sometimes when I use it,y,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
83,Understanding,No understanding,What do you think about quora?,I really don't know.,My Voice Assistant's voice search option was not working properly.,About half the time I use it,,35-44,Man,Yes,Yes,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
84,Attention,Missed Trigger,"Voice Assistant, turned the volume to eight",[Nothing happens],I wanted to turn the volume up on my music,Sometimes when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
85,Understanding,Ambiguity,"I said something like, ""Give me walking directions to 133 Clark Street.""","The voice assistant gave me driving directions, not walking directions.",I was trying to get directions to an address. It was a somewhat noisy environment. There were others present.,Rarely when I use it,,55-64,Woman,Yes,No,Rarely,Sometimes,White,Mobile phone,,2-3 times a week
86,Understanding,Misunderstanding,"Hey Voice Assistant, how old is the Church of England?","Sorry, I don't know how to answer that.","There was background noise - others were telling me to ""ask Voice Assistant.""",Sometimes when I use it,,45-54,Woman,Yes,Maybe,Sometimes,Rarely,"White,American Indian or Alaska Native",Mobile phone,,Daily
86,Perception,Noisy channel,"""Hey Voice Assistant, how old is the Church of England?""","""Sorry, I don't know how to answer that."" ",There was some background noise of others asking me to ask the voice assistant.,Sometimes when I use it,,45-54,Woman,Yes,Maybe,Sometimes,Rarely,"White,American Indian or Alaska Native",Mobile phone,,Daily
87,Response,Action execution: incorrect,"Voice Assistant, what is the current temperature?","""It is currently 65 degrees out."" [You see on your weather app that it is actually 55 degrees out.]",I asked for the temperature but it provided the wrong temperature.,About half the time I use it,y,25-34,Man,Yes,Yes,About half the time I use it,About half the time I use it,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
